iso,Night Changes,Drag Me Down,Perfect,History,Right Now,Steal My Girl,18,Story of My Life,Strong,Infinity,End of the Day,What Makes You Beautiful,Best Song Ever,Love You Goodbye,What a Feeling,Olivia,If I Could Fly,A.M.,Walking in the Wind,Where Do Broken Hearts Go,Never Enough,Temporary Fix,I Want to Write You a Song,Wolves,Hey Angel,Long Way Down,Stockholm Syndrome,No Control,Ready to Run,Fireproof,You & I,Home,Fool's Gold,Girl Almighty,Steal My Girl - 88 Ninety's 'Raiders of the Lost Art' Remix,Spaces,Act My Age,Clouds,One Way or Another (Teenage Kicks),Change Your Ticket,Little Things,Once in a Lifetime,Illusion,Kiss You,They Don't Know About Us,Happily,Midnight Memories,Diana,Live While We're Young,One Thing,Gotta Be You,More Than This,Perfect - Matoma Remix,Perfect - Stripped,Perfect - Matoma Remix2,Magic,Last First Kiss,Irresistible,Over Again,Truly Madly Deeply,Perfect - Matoma Remix3,Drag Me Down - Big Payno x AFTERHRS Remix,Up All Night,Don't Forget Where You Belong,Night Changes - Afterhrs Remix,Half a Heart,Steal My Girl - Acoustic Version
JPN,--,--,--,--,--,--,--,129,--,--,--,131,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
PRY,57,2,5,26,--,15,125,117,--,21,26,69,--,35,53,41,43,56,108,79,67,79,91,104,73,93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,166,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BOL,45,2,3,14,--,11,151,79,--,14,22,44,179,28,38,34,46,55,94,91,57,59,74,89,66,84,--,--,--,--,166,188,--,--,--,--,--,--,--,--,105,--,--,150,140,--,--,--,160,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
MLT,7,1,7,36,--,2,--,--,--,19,26,--,--,32,33,47,37,54,84,35,53,64,71,83,75,79,--,--,--,--,--,--,--,--,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
BGR,19,1,2,21,--,8,--,7,--,11,18,--,--,21,20,35,25,33,62,60,34,39,51,56,45,55,--,--,--,--,--,123,--,--,63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
NIC,32,2,2,14,--,13,77,43,--,18,22,26,84,24,32,29,33,41,65,--,42,51,50,62,44,60,--,--,--,--,85,91,--,--,--,--,--,--,--,--,54,--,--,82,67,--,--,--,92,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
LUX,18,2,3,38,--,9,--,--,--,23,29,--,--,44,49,59,45,57,88,--,62,70,76,91,75,82,--,--,--,--,--,--,--,--,41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CYP,195,1,2,11,--,6,--,--,--,11,19,--,--,17,18,23,14,20,42,--,26,30,34,41,32,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
KOR,--,--,--,--,--,--,--,--,--,--,--,198,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ZAF,--,86,177,141,--,126,150,56,--,--,--,72,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,198,--,--,--,--,--,--,--,--,--,128,--,--,--,171,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ISR,--,--,--,--,--,--,--,166,--,--,--,200,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ROU,--,183,--,--,--,--,--,--,--,--,--,171,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
